,Functional grp name,SMARTS,Smiles
2027,39 - C5H4N (18 - Pyridine),"[$([nX2]1:[cX3H1]:[cX3H1]:[cX3H1]:[cX3H1]:[cX3H0]1),$([nX2]1:[cX3H1]:[cX3H1]:[cX3H1]:[cX3H0]:[cX3H1]1),$([nX2]1:[cX3H1]:[cX3H1]:[cX3H0]:[cX3H1]:[cX3H1]1)]",*
2028,41 - CH3CN (19 - CCN),[CX4H3][CX2]#[NX1],[CH3]C#N
2029,42 - CH2CN (19 - CCN),[CX4H2][CX2]#[NX1],[CH2]C#N
2030,43 - COOH (20 - COOH),[CX3H0](=[OX1])[OX2H1],O=C[OH]
2031,44 - HCOOH (20 - COOH),[CX3H1](=[OX1])[OX2H1],O=[CH][OH]
2032,45 - CH2Cl (21 - CCl),[CX4H2!$([CX4H2](Cl)Cl)]Cl,[CH2]Cl
2033,46 - CHCl (21 - CCl),[CX4H1!$([CX4H1]([Cl])F)!$([CX4H1]([Cl])(F)F)]([!Cl])([!Cl])[Cl],*[CH](*)Cl
2034,47 - CCl (21 - CCl),[CX4H0]([!Cl!F])([!Cl!F])([!Cl!F])[Cl],*C(*)(*)Cl
2035,48 - CH2Cl2 (22 - CCl2),[CX4H2]([Cl])[Cl],Cl[CH2]Cl
2036,49 - CHCl2 (22 - CCl2),[CX4H1]([!Cl!F])([Cl])[Cl],*[CH](Cl)Cl
2037,50 - CCl2 (22 - CCl2),[CX4H0]([Cl])([Cl])([!Cl!F])[!Cl!F],*C(*)(Cl)Cl
2038,51 - CHCl3 (23 - CCl3),[CX4H1]([Cl])([Cl])[Cl],Cl[CH](Cl)Cl
2039,52 - CCl3 (23 - CCl3),[CX4H0]([!Cl!F])([Cl])([Cl])[Cl],*C(Cl)(Cl)Cl
2040,53 - CCl4 (24 - CCl4),[CX4]([Cl])([Cl])([Cl])[Cl],ClC(Cl)(Cl)Cl
2041,55 - CH3NO2 (26 - CNO2),"[CX4H3][$([NX3+](=[OX1])([O-])),$([NX3](=O)=O)]",*[CH3]
2042,56 - CH2NO2 (26 - CNO2),"[CX4H2][$([NX3+](=[OX1])([O-])),$([NX3](=O)=O)]",*[CH2]
2043,57 - CHNO2 (26 - CNO2),"[CX4H1][$([NX3+](=[OX1])([O-])),$([NX3](=O)=O)]",*[CH]
2044,59 - CS2 (28 - Carbon disulphide),[SX1]=[CX2]=[SX1],S=C=S
2045,60 - CH3SH (29 - CH3SH),[CX4H3][SX2H1],[CH3][SH]
2046,61 - CH2SH (29 - CH3SH),[CX4H2][SX2H1],[CH2][SH]
2047,62 - Furfural (30 - Furfural ),"[OX2]1-,:[#6X3]=,:[#6X3]-,:[#6X3]=,:[#6X3]([CX3H1]=[OX1])-,:1",O=[CH]C1=CC=CO1
2048,63 - DOH (31 - Ethanediol),[OX2H1][CX4H2][CX4H2][OX2H1],[OH][CH2][CH2][OH]
2049,64 - I (32 - Iodo compounds),[I],I
2050,65 - Br (33 - Bromo compounds),[Br!$([Br][cR])],Br
2051,66 - CH#C (34 - Carbon triple bond),[CX2H1]#[CX2H0],C#C
2052,67 - C#C (34 - Carbon triple bond),[CX2H0]#[CX2H0],C#C
2053,68 - DMSO (35 - Dimethylsulphoxide),[CX4H3][Sv4X3](=[OX1])[CX4H3],[CH3]S([CH3])=O
2054,69 - ACRY (36 - Acrylonitrile),[CX3H2]=[CX3H1][CX2]#[NX1],C=[CH]C#N
2055,"70 - Cl-C=C (37 - Cl, double bonded carbon )",[Cl][CX3]=[CX3],C=CCl
2056,72 - DMF (39 - Dimethylformamide),[CX3H1](=[OX1])[NX3]([CX4H3])[CX4H3],[CH3]N([CH3])[CH]=O
2057,73 - HCON(CH2)2 (39 - Dimethylformamide),[CX3H1](=[OX1])[NX3]([CX4H2])[CX4H2],[CH2]N([CH2])[CH]=O
2058,74 - CF3 (40 - CF2),[CX4](F)(F)(F)[!Cl!F],*C(F)(F)F
2059,75 - CF2 (40 - CF2),[CX4](F)(F)([!F!Cl!H])([!F!Cl!H]),*C(*)(F)F
2060,76 - CF (40 - CF2),[CX4](F)([!F!Cl!H])([!F!Cl!H])([!F!Cl!H]),*C(*)(*)F
2061,77 - COO (41 - Acrylate),[#6!$([CX4H3])!$([CX4H2])][CX3](=[OX1])[OX2][#6],COC(C)=O
2062,78 - SiH3 (42 - SiH2),[SiX4H3],[SiH3]
2063,79 - SiH2 (42 - SiH2),[SiX4H2]([!$([OX2])])([!$([OX2])]),*[SiH2]*
2064,80 - SiH (42 - SiH2),[SiX4H1]([!$([OX2])])([!$([OX2])])([!$([OX2])]),*[SiH](*)*
2065,81 - Si (42 - SiH2),[SiX4H0]([!$([OX2])])([!$([OX2])])([!$([OX2])])([!$([OX2])]),*[Si](*)(*)*
2066,82 - SiH2O (43 - SiO),[SiX4H2][OX2],O[SiH2]
2067,83 - SiHO (43 - SiO),[SiX4H1][OX2],O[SiH]
2068,84 - SiO (43 - SiO),[SiX4H0][OX2],O[Si]
2069,85 - NMP (44 - Methylpyrrolidone),[CX4H2]1[NX3]([CX4H3])[CX3](=[OX1])[CX4H2][CX4H2]1,[CH3]N1[CH2][CH2][CH2]C1=O
2070,86 - CCl3F (45 - CClF),[CX4]([Cl])([Cl])([Cl])[F],FC(Cl)(Cl)Cl
2071,87 - CCl2F (45 - CClF),[CX4H0]([Cl])([Cl])([F])[!Cl!F],*C(F)(Cl)Cl
2072,88 - HCCl2F (45 - CClF),[CX4H1]([Cl])([Cl])F,F[CH](Cl)Cl
2073,89 - HCClF (45 - CClF),[CX4H1](Cl)(F)([!F!Cl]),*[CH](F)Cl
2074,90 - CClF2 (45 - CClF),[CX4H0](Cl)(F)(F)[!Cl!F],*C(F)(F)Cl
2075,91 - HCClF2 (45 - CClF),[CX4H1](Cl)(F)F,F[CH](F)Cl
2076,92 - CClF3 (45 - CClF),[CX4](Cl)(F)(F)F,FC(F)(F)Cl
2077,93 - CCl2F2 (45 - CClF),[CX4](Cl)(Cl)(F)F,FC(F)(Cl)Cl
2078,94 - CONH2 (46 - CON),[CX3](=[OX1])[NX3H2],[NH2]C=O
2079,95 - CONHCH3 (46 - CON),[CX3](=[OX1])[NX3H1][CX4H3],[CH3][NH]C=O
2080,96 - CONHCH2 (46 - CON),[CX3](=[OX1])[NX3H1][CX4H2],[CH2][NH]C=O
2081,97 - CON(CH3)2 (46 - CON),[CX3](=[OX1])[NX3]([CX4H3])[CX4H3],[CH3]N([CH3])C=O
2082,98 - CONCH3CH2 (46 - CON),[CX3](=[OX1])[NX3]([CX4H3])[CX4H2],[CH2]N([CH3])C=O
2083,99 - CON(CH2)2 (46 - CON),[CX3](=[OX1])[NX3]([CX4H2])[CX4H2],[CH2]N([CH2])C=O
2084,100 - C2H5O2 (47 - OCCOH),[OX2H0!R][CX4H2][CX4H2][OX2H1],O[CH2][CH2][OH]
2085,101 - C2H4O2 (47 - OCCOH),"[$([OX2H0!R][CX4H1][CX4H2][OX2H1]),$([OX2H0!R][CX4H2][CX4H1][OX2H1])]",*
2086,102 - CH3S (48 - CH2S),[CX4H3][SX2H0][*],*S[CH3]
2087,103 - CH2S (48 - CH2S),[CX4H2][SX2H0!$([SX2H0]([CX4H2])[CX4H3])][*],*S[CH2]
2088,105 - MORPH (49 - Morpholine),[OX2]1[CX4H2][CX4H2][NX3H1][CX4H2][CX4H2]1,[CH2]1[CH2]O[CH2][CH2][NH]1
2089,106 - C4H4S (50 - Thiophene),"[#6X3H1]1-,:[#16X2]-,:[#6X3H1]=,:[#6X3H1]-,:[#6X3H1]=,:1",[CH]1=[CH]S[CH]=[CH]1
2090,107 - C4H3S (50 - Thiophene),"[$([#6X3H1]1-,:[#16X2]-,:[#6X3H1]=,:[#6X3H1]-,:[#6X3H0]=,:1),$([#6X3H1]1-,:[#16X2]-,:[#6X3H0]=,:[#6X3H1]-,:[#6X3H1]=,:1)]",*
2091,109 - NCO (51 - NCO),[*][NX2]=[CX2]=[OX1],*N=C=O
2092,110 - CH2SuCH2 (52 - Sulphones),[CX4H2][Sv6X4](=[OX1])(=[OX1])[CX4H2],[CH2]S([CH2])(=O)=O
2093,111 - CH2SuCH (52 - Sulphones),[CX4H2][Sv6X4](=[OX1])(=[OX1])[CX4H1],[CH]S([CH2])(=O)=O
2094,112 - CH2OCH2 (53 - Oxides),[CX4H2]1[OX2][CX4H2]1,[CH2]1[CH2]O1
2095,113 - CH2OCH (53 - Oxides),[CX4H2]1[OX2][CX4H1]1,[CH]1[CH2]O1
2096,114 - CH2OC (53 - Oxides),[CX4H2]1[OX2][CX4H0]1,C1[CH2]O1
2097,115 - CHOCH (53 - Oxides),[CX4H1]1[OX2][CX4H1]1,[CH]1[CH]O1
2098,116 - CHOC (53 - Oxides),[CX4H1]1[OX2][CX4H0]1,C1[CH]O1
2099,117 - COC (53 - Oxides),[CX4H0]1[OX2][CX4H0]1,C1CO1
2100,118 - O=COC=O (54 - Anhydrides),[CX3](=[OX1])[OX2][CX3](=[OX1]),O=COC=O
2101,phosphorodithionate,[$([SX2H0]P(=S)([OH0])[OH0])]P(=S)([OH0])[OH0],*P(O)(O)=S
2102,"O,O-diethylphosphorodithionate",CCOP(=S)(OCC)SC([*:1]),CCOP(=S)(OCC)SC[*:1]
2103,phosphoryl,[PX4H0](=O)([OH0])([OH0])[OH0],OP(O)(O)=O
2104,"O,O-dimethylphosphoryl",COP(=O)(O([*:1]))OC,COP(=O)(OC)O[*:1]
2105,phosphorothionate,[$([OH0]P(=S)([OH0])[OH0])]P(=S)([OH0])[OH0],*P(O)(O)=S
2106,diethylphosphorothionate,CCOP(=S)(O([*:1]))OCC,CCOP(=S)(OCC)O[*:1]
2107,O-phenyl phenylphosphonothioate,S=P(O([*:1]))(Oc1ccc([*:1])cc1)c1ccccc1,S=P(Oc1ccc([*:1])cc1)(O[*:1])c1ccccc1
2108,O-phenyl phosphonothioate,S=P(O([*:1]))(O([*:1]))Oc1ccc([*:1])cc1,S=P(Oc1ccc([*:1])cc1)(O[*:1])O[*:1]
2109,carbamate,[$(N([!H])C(=O)[OH0])]C(=O)[OH0],*C(O)=O
2110,"2,2-dimethyl-2,3-dihydro-1-benzofuran-7-yl N-(aminosulfanyl)-N-methylcarbamate",CN(SN([*:1])([*:1]))C(=O)Oc1cccc2CC(C)(C)Oc12,CN(SN([*:1])[*:1])C(=O)Oc1cccc2c1OC(C)(C)C2
2111,methyl(propoxysulfanyl) carbamate,CN(SOCCC([*:1]))C(=O)O([*:1]),CN(SOCCC[*:1])C(=O)O[*:1]
2112,phenyl carbamate,O=C(N([*:1]))Oc1ccccc([*:1])1,O=C(N[*:1])Oc1ccccc1[*:1]
2113,O-(methylaminocarbonyl)oxime,[CX4]NC(=O)ON=C,CNC(=O)ON=C
2114,dimethylcarbamate,CN(C)C(=O)O([*:1]),CN(C)C(=O)O[*:1]
2115,barbiturates,*C1(*)[#6](=O)-[#7]-[#6](=O)-[#7]-[#6]1=O,*C1(*)C(=O)NC(=O)NC1=O
2116,4-Hydroxycoumarin,[OH1]C1=CC(=O)Oc2[cH][cH][cH][cH]c12,O=C1C=C([OH])c2[cH][cH][cH][cH]c2O1
2117,Phenothiazine,*-[#7]-1-c2ccccc2-[#16]-c2ccccc-12,*N1c2ccccc2Sc2ccccc21
2118,1-carboximidoylpiperazine,[NR1X3]1[CX4R1][CX4R1][NX3R1]([CX3]=[NX2])[CX4R1][CX4R1]1,N=CN1CCNCC1
2119,phenylpiperazine,[NR1X3]1[CX4R1][CX4R1][NX3R1](c2ccccc2)[CX4R1][CX4R1]1,C1CN(c2ccccc2)CCN1
2120,"2,4-dichloro-benzene-1,3-dicarbonitrile",N#Cc1c([*:1])c([*:1])c(Cl)c(C#N)c1Cl,N#Cc1c(Cl)c(C#N)c([*:1])c([*:1])c1Cl
2121,R1 - Reactive alkyl halides,"[Br,Cl,I][CX4;CH,CH2]",*C
2122,R2 - Acid halides,"[S,C](=[O,S])[F,Br,Cl,I]",**=*
2123,R3 - Carbazides,O=CN=[N+]=[N-],[N-]=[N+]=NC=O
2124,R4 - Sulphate esters,"COS(=O)O[C,c]",*OS(=O)OC
2125,R5 - Sulphonates,"COS(=O)(=O)[C,c]",*S(=O)(=O)OC
2126,R6 - Acid anhydrides,C(=O)OC(=O),O=COC=O
2127,R7 - Peroxides,OO,OO
2128,R8 - Pentafluorophenyl esters,C(=O)Oc1c(F)c(F)c(F)c(F)c1(F),O=COc1c(F)c(F)c(F)c(F)c1F
2129,R9 - Paranitrophenyl esters,C(=O)Oc1ccc(N(=O)=O)cc1,O=COc1ccc(N(=O)=O)cc1
2130,R10 - Esters of HOBT (Hydroxybenzotriazole),C(=O)Onnn,nnnOC=O
2131,R11 - Isocyanates & Isothiocyanantes,"N=C=[S,O]",*=C=N
2132,R12 - Triflates,OS(=O)(=O)C(F)(F)F,OS(=O)(=O)C(F)(F)F
2133,R13 - Lawesson's reagent and derivatives,P(=S)(S)S,SP(S)=S
2134,R14 - Phosphoramides,NP(=O)(N)N,NP(N)(N)=O
2135,R15 - Aromatic azides,cN=[N+]=[N-],cN=[N+]=[N-]
2136,R16 - beta carbonyl quaternary Nitrogen,"C(=O)C[N+,n+]",*CC=O
2137,R17 - Acylhydrazide,[N;R0][N;R0]C(=O),NNC=O
2138,"R18 - Quaternary C,Cl,I,P or S","[C+,Cl+,I+,P+,S+]",*
2139,R19 - Phosphoranes,C=P,C=P
2140,R20 - Chloramidines,[Cl]C([C&R0])=N,CC(=N)Cl
2141,R21 - Nitroso,[N&D2](=O),N=O
2142,R22 - P/S Halides,"[P,S][Cl,Br,F,I]",**
2143,R23 - Carbodiumide,N=C=N,N=C=N
2144,R24 - Isonitrile,[N+]#[C-],[C-]#[NH+]
2145,R25 - Triacyloximes,C(=O)N(C(=O))OC(=O),O=CON(C=O)C=O
2146,R26 - Cyanohydrins,N#CC[OH],N#CC[OH]
2147,R27 - Acyl cyanides,N#CC(=O),N#CC=O
2148,R28 - Sulfonyl cyanides,S(=O)(=O)C#N,N#CS(=O)=O
2149,R29 - Cyanophosphonates,P(OCC)(OCC)(=O)C#N,CCOP(=O)(C#N)OCC
2150,R30 - Azocyanamides,[N;R0]=[N;R0]C#N,N#CN=N
2151,R31 - Azoalkanals,[N;R0]=[N;R0]CC=O,N=NCC=O
2152,I1 - Aliphatic methylene chains 7 or more long,[CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0],CCCCCCC
2153,I2 - Compounds with 4 or more acidic groups,"[C,S,P](=O)[OH].[C,S,P](=O)[OH].[C,S,P](=O)[OH].[C,S,P](=O)[OH]",O=*[OH].O=*[OH].O=*[OH].O=*[OH]
2154,I3 - Crown ethers,[O;R1][C;R1][C;R1][O;R1][C;R1][C;R1][O;R1],OCCOCCO
2155,I4 - Disulphides,SS,SS
2156,I5 - Thiols,[SH],[SH]
2157,"I6 - Epoxides, Thioepoxides, Aziridines","C1[O,S,N]C1",*1CC1
2158,"I7 - 2,4,5 trihydroxyphenyl",c([OH])c([OH])c([OH]),[OH]cc([OH])c[OH]
2159,"I8 - 2,3,4 trihydroxyphenyl",c([OH])c([OH])cc([OH]),[OH]ccc([OH])c[OH]
2160,I9 - Hydrazothiourea,N=NC(=S)N,NC(=S)N=N
2161,I10 - Thiocyanate,SC#N,N#CS
2162,I11 - Benzylic quaternary Nitrogen,cC[N+],cC[N+]
2163,I12 - Thioesters,"C[O,S;R0][C;R0](=S)",C*C=S
2164,I13 - Cyanamides,N[CH2]C#N,N[CH2]C#N
2165,I14 - Four membered lactones,C1(=O)OCC1,O=C1CCO1
2166,I15 - Di and Triphosphates,P(=O)([OH])OP(=O)[OH],O=P([OH])OP(=O)[OH]
2167,I16 - Betalactams,N1CCC1=O,O=C1CCN1
2168,N1 - Quinones,O=C1[#6]~[#6]C(=O)[#6]~[#6]1,O=C1C~CC(=O)C~C1
2169,N2 - Polyenes,C=CC=CC=CC=C,C=CC=CC=CC=C
2170,N3 - Saponin derivatives,O1CCCCC1OC2CCC3CCCCC3C2,C1CCC(OC2CCC3CCCCC3C2)OC1
2171,N4 - Cytochalasin derivatives,O=C1NCC2CCCCC21,O=C1NCC2CCCCC21
2172,N5 - Cycloheximide derivatives,O=C1CCCC(N1)=O,O=C1CCCC(=O)N1
2173,N6 - Monensin derivatives,O1CCCCC1C2CCCO2,C1CCC(C2CCCO2)OC1
2174,N7 - Cyanidin derivatives,[OH]c1cc([OH])cc2[O+]=C(C([OH])=Cc21)c3cc([OH])c([OH])cc3,[OH]C1=Cc2c([OH])cc([OH])cc2[O+]=C1c1ccc([OH])c([OH])c1
2175,N8 - Squalestatin derivatives,C12OCCC(O1)CC2,C1CC2CCC(O1)O2
2176,"A1 - e.g., carboxylic acid","[OH1][P,C,S](=O)",O=*[OH]
2177,"A2 - e.g.,imide","[NH1]([P,S]=O)([P,S]=O)",O=*[NH]*=O
2178,A4,[OH1]C1=NC=NO1,[OH]C1=NC=NO1
2179,A5,[NH1]1C=NOS1=O,O=S1[NH]C=NO1
2180,A6,[OH1]C1=NC(=O)CC1=O,O=C1CC(=O)C([OH])=N1
2181,A7,[OH1]C1NC(=O)C(=O)C1,O=C1CC([OH])NC1=O
2182,A8,[nH1]1ncoc1=O,O=c1[nH]nco1
2183,A9,[OH1]C1=NN=CO1,[OH]C1=NN=CO1
2184,A10,[nH1]1[nH]cnc1=O,O=c1nc[nH][nH]1
2185,A11,[OH1]C1=N[NH1]C=N1,[OH]C1=N[NH]C=N1
2186,A12,[OH1]C1=NOC=C1,[OH]C1=NOC=C1
2187,A13,[nH1]1occc1=O,O=c1cco[nH]1
2188,A14,[OH1]c1oncc1,[OH]c1ccno1
2189,A15,[nH1]1ccc(=O)o1,O=c1cc[nH]o1
2190,A16 - tetrazole,[nH1]nnn,nnn[nH]
2191,A17,[nH1](n)nn,nn[nH]n
2192,A18,[OH1]C1=NC(=O)NO1,O=C1NOC([OH])=N1
2193,A19,[OH1]C1=NC(=O)ON1,O=C1N=C([OH])NO1
2194,A20,[nH1]1cnnc1C(F)(F)F,FC(F)(F)c1nnc[nH]1
2195,A21,[nH1]1cnc(n1)C(F)(F)F,FC(F)(F)c1nc[nH]n1
2196,A22,[nH1]1C(=O)CC(=O)O1,O=C1CC(=O)O[nH]1
2197,A23,[OH1]C1=CC(=O)NO1,O=C1C=C([OH])ON1
2198,A24,[OH1]C1=CC(=O)ON1,O=C1C=C([OH])NO1
2199,A25 - benzosulphimide,[NH1]1C(=O)c2ccccc2S1(=O)=O,O=C1[NH]S(=O)(=O)c2ccccc21
2200,A26,[OH1]C1=NS(=O)(=O)c2ccccc21,O=S1(=O)N=C([OH])c2ccccc21
2201,A27,[OH1]C1=NC(=O)c2ccccc21,O=C1N=C([OH])c2ccccc21
2202,A28,[OH1]C1=COC=CC1=O,O=C1C=COC=C1[OH]
2203,A29,[OH1]C1=NSN=C1,[OH]C1=NSN=C1
2204,A30 - hyroxamic acid,[OH1]NC(=O),O=CN[OH]
2205,A31 - trifluoromethyl sulphonamide,[NH]S(=O)(=O)C(F)(F)F,[NH]S(=O)(=O)C(F)(F)F
2206,A32 - aryl sulphonamide,[NH](c)S(=O)=O,c[NH]S(=O)=O
2207,A33 - phenol,"[OH1]c1c[c,n]ccc1",[OH]c1c*ccc1
2208,B1 - primary amine,[NH2][CX4],C[NH2]
2209,B2 - secondary amine,[NH]([CX4])[CX4],C[NH]C
2210,B3 - tertiary amine,[NX3]([CX4])([CX4])[CX4],CN(C)C
2211,B4SUB,"[C,c](=N)N",N*=N
2212,B5EXC,"[C,c](=N)N[C,S](=O)",N=*N*=O
2213,B6,"[$([C,c](=N)N);!$([C,c](=N)N[C,S](=O))]",*
2214,B7EXC,n(:c)(:c):a,*n(c)c
2215,B7,[nH0;!$(n-C);!$(n(:c)(:c):a)]1ccccc1,c1ccncc1
2216,B8EXC,"[N,n;+1]",*
2217,B9,"[$([NH2]!:c),$([NH1]([CX4])!:c),$([NH0]([CX4])([CX4])!:c)]",*
2218,E1 - alkyl and aryl ketones and aldehydes,"[C;H1](=[O,S])[C,c]",*C=*
2219,"E2 - e.g., carboxylic esters","[C,P;H1](=[O,S])[O,S]",**=*
2220,"E3 - e.g., carbonates","[C](=O)([C,c,O,S])[C,c,O,S]",*C(*)=O
2221,E4EXC,C(=O)[OH1],O=C[OH]
2222,E5EXC,C(=O)[SH1],O=C[SH]
2223,E6,"C(=[O,S])(N)Oc",*=C(N)Oc
2224,"E7 - e.g., aryl carbamates","C1(=O)NS(=O)(=O)[C,c]=,:[C,c]1",O=C1*=*S(=O)(=O)N1
2225,E8SUB,"P(=O)[O,S]",*P=O
2226,E9EXC,P[OH1],[OH]P
2227,E10,"[$(P(=O)[O,S]);!$(P[OH1])]",*
2228,E11,c(=O)(~c)~c,c~c(~c)=O
2229,E12EXC,"[$(c1(=O)ccn([C,c])cc1),$(c1(=O)n([C,c])cccc1)]",*
2230,E12,"[$(c(=O)(~c)~c);!$([$(c1(=O)ccn([C,c])cc1),$(c1(=O)n([C,c])cccc1)])]",*
2231,E13 - imides,C(=O)-N-C=O,O=CNC=O
2232,N1 - pimary amines,[NX3H2][CX4],C[NH2]
2233,N2 - secondary amines,[NX3H]([CX4])[CX4],C[NH]C
2234,N4EXC,"N=[O,C,N,S]",*=N
2235,N5EXC,"N-[C,c,N]=[C,c,N,n,O,S]",*=*N
2236,N6,"[OH1][C,c,N;!$(C=O)]",*[OH]
2237,N7EXC,[OH1]C=C,C=C[OH]
2238,N8EXC,"[OH1]NC=[O,S]",*=CN[OH]
2239,N9,"[$([NX3H2]!:c),$([NX3H1]([CX4])!:c),$([NX3H0]([CX4])([CX4])!:c)]",*
2240,NUC,"[$([NH2][CX4]),$([NH]([CX4])[CX4]),$([OH1][C,c,N;!$(C=O)]),$([$([NH2]!:c),$([NH1]([CX4])!:c),$([NH0]([CX4])([CX4])!:c)]);!$(N=[O,C,N,S]);!$(N-[C,c,N]=[C,c,N,n,O,S]);!$([OH1]C=C);!$([OH1]NC=[O,S])]",*
2241,> 2 ester groups,"C(=O)O[C,H1].C(=O)O[C,H1].C(=O)O[C,H1]",*OC=O.*OC=O.*OC=O
2242,2-halo pyridine,"n1c([F,Cl,Br,I])cccc1",*c1ccccn1
2243,Acid halide,"C(=O)[Cl,Br,I,F]",*C=O
2244,Acyclic C=C-O,C=[C!r]O,C=CO
2245,Acyl cyanide,N#CC(=O),N#CC=O
2246,Acyl hydrazine,C(=O)N[NH2],[NH2]NC=O
2247,Aliphatic long chain,[R0;D2][R0;D2][R0;D2][R0;D2],****
2248,Aniline,c1cc([NH2])ccc1,[NH2]c1ccccc1
2249,Azepane,[CH2R1]1N[CH2R1][CH2R1][CH2R1][CH2R1][CH2R1]1,[CH2]1[CH2][CH2][CH2]N[CH2][CH2]1
2250,Azido group,N=[N+]=[N-],[N-]=[N+]=N
2251,Azo group,N=N,N=N
2252,Azocane,[CH2R1]1N[CH2R1][CH2R1][CH2R1][CH2R1][CH2R1][CH2R1]1,[CH2]1[CH2][CH2][CH2]N[CH2][CH2][CH2]1
2253,Benzidine,"[cR2]1[cR2][cR2]([Nv3X3,Nv4X4])[cR2][cR2][cR2]1[cR2]2[cR2][cR2][cR2]([Nv3X3,Nv4X4])[cR2][cR2]2",*c1ccc(c2ccc(*)cc2)cc1
2254,Betaketo/anhydride,"[C,c](=O)[CX4,CR0X3,O][C,c](=O)",O=***=O
2255,Biotin analogue,C12C(NC(N1)=O)CSC2,O=C1NC2CSCC2N1
2256,Carbo cation/anion,"[C+,c+,C-,c-]",*
2257,Catechol,"c1c([OH])c([OH,NH2,NH])ccc1",*c1ccccc1[OH]
2258,Charged oxygen or sulfur atoms,"[O+,o+,S+,s+]",*
2259,Chinone (1),"C1(=[O,N])C=CC(=[O,N])C=C1",*=C1C=CC(=*)C=C1
2260,Chinone (2),"C1(=[O,N])C(=[O,N])C=CC=C1",*=C1C=CC=CC1=*
2261,Conjugated nitrile group,C=[C!r]C#N,C=CC#N
2262,Crown ether,"[OR2,NR2]@[CR2]@[CR2]@[OR2,NR2]@[CR2]@[CR2]@[OR2,NR2]",*~C~C~*~C~C~*
2263,Cumarine,c1ccc2c(c1)ccc(=O)o2,O=c1ccc2ccccc2o1
2264,Cyanamide,N[CH2]C#N,N[CH2]C#N
2265,Cyanate/aminonitrile/thiocyanate,"[N,O,S]C#N",*C#N
2266,Cyanohydrins,N#CC[OH],N#CC[OH]
2267,Cycloheptane (1),[CR1]1[CR1][CR1][CR1][CR1][CR1][CR1]1,C1CCCCCC1
2268,Cycloheptane (2),[CR1]1[CR1][CR1]cc[CR1][CR1]1,C1CCccCC1
2269,Cyclooctane (1),[CR1]1[CR1][CR1][CR1][CR1][CR1][CR1][CR1]1,C1CCCCCCC1
2270,Cyclooctane,[CR1]1[CR1][CR1]cc[CR1][CR1][CR1]1,C1CCCccCC1
2271,Diaminobenzene (1),"[cR2]1[cR2]c([N+R0,NX3R0,nX3R0])c([N+R0,NX3R0,nX3R0])[cR2][cR2]1",*c1ccccc1*
2272,Diaminobenzene (2),"[cR2]1[cR2]c([N+R0,NX3R0,nX3R0])[cR2]c([N+R0,NX3R0,nX3R0])[cR2]1",*c1cccc(*)c1
2273,Diaminobenzene (3),"[cR2]1[cR2]c([N+R0,NX3R0,nX3R0])[cR2][cR2]c1([N+R0,NX3R0,nX3R0])",*c1ccc(*)cc1
2274,Diazo group,[N!R]=[N!R],N=N
2275,Diketo group,"[C,c](=O)[C,c](=O)",O=**=O
2276,Disulphide,SS,SS
2277,Enamine,[CX3R0][NX3R0],CN
2278,Ester of HOBT,C(=O)Onnn,nnnOC=O
2279,Four member lactones,C1(=O)OCC1,O=C1CCO1
2280,Halogenated ring (1),"c1cc([Cl,Br,I,F])cc([Cl,Br,I,F])c1[Cl,Br,I,F]",*c1ccc(*)c(*)c1
2281,Halogenated ring (2),"c1ccc([Cl,Br,I,F])c([Cl,Br,I,F])c1[Cl,Br,I,F]",*c1cccc(*)c1*
2282,Heavy metal,"[Hg,Fe,As,Sb,Zn,Se,se,Te,B,Si]",*
2283,Het-c-het not in ring,"[NX3R0,NX4R0,OR0,SX2R0][CX4][NX3R0,NX4R0,OR0,SX2R0]",*C*
2284,Hydantoin,C1NC(=O)NC(=O)1,O=C1CNC(=O)N1
2285,Hydroxamic acid,C(=O)N[OH],O=CN[OH]
2286,Imine,C=[N!R],C=N
2287,Isolated alkene,"[$([CH2]),$([CH][CX4]),$(C([CX4])[CX4])]=[$([CH2]),$([CH][CX4]),$(C([CX4])[CX4])]",*=*
2288,Ketene,C=C=O,C=C=O
2289,"Methylidene-1,3-dithiole",S1C=CSC1=S,S=C1SC=CS1
2290,Michael acceptor (1),"C=!@CC=[O,S]",*=CC=C
2291,Michael acceptor (2),"[$([CH]),$(CC)]#CC(=O)[C,c]",*C(=O)C#*
2292,Michael acceptor (3),"[$([CH]),$(CC)]#CS(=O)(=O)[C,c]",*S(=O)(=O)C#*
2293,Michael acceptor (4),C=C(C=O)C=O,C=C(C=O)C=O
2294,Michael acceptor (5),"[$([CH]),$(CC)]#CC(=O)O[C,c]",*OC(=O)C#*
2295,N oxide,"[NX4,nX3][OX1]",*O
2296,"N-acyl-2-amino-5-mercapto-1,3,4-thiadiazole",s1c(S)nnc1NC=O,O=CNc1nnc(S)s1
2297,N-c-halo,"NC[F,Cl,Br,I]",*CN
2298,N-halo,"[NX3,NX4][F,Cl,Br,I]",**
2299,N-hydroxylpyridine,n[OH],n[OH]
2300,Nitro group,"[$([NX3](=O)=O),$([NX3+](=O)[O-])]",*
2301,N-nitroso,[#7]-N=O,NN=O
2302,Oxime (1),"[C,c]=N[OH]",*=N[OH]
2303,Oxime (2),"[C,c]=NOC=O",*=NOC=O
